Especie,Descripción de Especie,Fecha,Tipo,Cantidad (VN),Precio,Importe Ajuste,Monto Neto,Moneda,Estado,Operación
FBA RENTA FIJA PLUS,FBA RENTA FIJA PLUS,07/02/2022,Rescate,"33599,215","2,381",,80000,$,Realizada,206513029
FBA RENTA PESOS,FBA RENTA PESOS,07/02/2022,Rescate,"8696,314","22,308",,194000,$,Realizada,206513023
FBA RENTA FIJA PLUS,FBA RENTA FIJA PLUS,02/02/2022,Suscripción,"33780,332","2,368",,80000,$,Realizada,206491644
FBA RENTA PESOS,FBA RENTA PESOS,02/02/2022,Suscripción,"9675,836","22,22",,215000,$,Realizada,206491510
GD35,BONO GD35 LEY EXTRANJERA USC STEP UP VTO 09-07-35,14/01/2022,Renta,"0,01","0,00",,"0,00",U$S,Realizada,710617866
GD30,BONO GD30 LEY EXTRANJERA USC STEP UP VTO 09-07-30,14/01/2022,Renta,"0,01","0,00",,"0,00",U$S,Realizada,710619087
GD35,BONO GD35 LEY EXTRANJERA USC STEP UP VTO 09-07-35,14/01/2022,Cargo Renta,"0,00","0,00",,"0,01",$,Realizada,710617866
GD30,BONO GD30 LEY EXTRANJERA USC STEP UP VTO 09-07-30,14/01/2022,Cargo Renta,"0,00","0,00",,"0,01",$,Realizada,710619087
GD35,BONO GD35 LEY EXTRANJERA USC STEP UP VTO 09-07-35,14/01/2022,Liquidación de Cupón,"3,00","0,00",,"0,00",CupBONGD35,Realizada,710617866
GD30,BONO GD30 LEY EXTRANJERA USC STEP UP VTO 09-07-30,14/01/2022,Liquidación de Cupón,"5,00","0,00",,"0,00",CupBONGD30,Realizada,710619087
FBA RENTA FIJA PLUS,FBA RENTA FIJA PLUS,13/01/2022,Rescate,"2152,359","2,323",,5000,$,Realizada,206385933
FBA RENTA FIJA PLUS,FBA RENTA FIJA PLUS,13/01/2022,Rescate,"8609,434","2,323",,20000,$,Realizada,206391022
GD35,BONO GD35 LEY EXTRANJERA USC STEP UP VTO 09-07-35,12/01/2022,Corte de Cupón,"3,00","0,00",,"0,00",CupBONGD35,Realizada,710615024
GD30,BONO GD30 LEY EXTRANJERA USC STEP UP VTO 09-07-30,10/01/2022,Corte de Cupón,"5,00","0,00",,"0,00",CupBONGD30,Realizada,710607898
FBA RENTA PESOS,FBA RENTA PESOS,10/01/2022,Rescate,"6707,41","21,828",,"146411,89",$,Realizada,206358558
FBA RENTA FIJA PLUS,FBA RENTA FIJA PLUS,03/01/2022,Suscripción,"43628,742","2,292",,100000,$,Realizada,206315902
FBA RENTA PESOS,FBA RENTA PESOS,03/01/2022,Suscripción,"4606,222","21,71",,100000,$,Realizada,206317083
FBA RENTA PESOS,FBA RENTA PESOS,27/12/2021,Rescate,"1157,691","21,595",,25000,$,Realizada,206279703
FBA RENTA PESOS,FBA RENTA PESOS,20/12/2021,Suscripción,"3258,88","21,48",,70000,$,Realizada,206251257
LONG,ACCION LONGVIE SA C I  ORD CLASE B 1 VOTO,13/12/2021,Venta,"420,00","0,00",,"0,00",$,Rechazada,0
FBA RENTA PESOS,FBA RENTA PESOS,13/12/2021,Rescate,"4720,837","21,365",,"100861,12",$,Realizada,206210784
LONG,ACCION LONGVIE SA C I  ORD CLASE B 1 VOTO,10/12/2021,Venta,"420,00","0,00",,"0,00",$,Rechazada,0
FBA RENTA FIJA PLUS,FBA RENTA FIJA PLUS,10/12/2021,Rescate,"13469,38","2,241",,"30179,57",$,Realizada,206192329
FBA RENTA FIJA PLUS,FBA RENTA FIJA PLUS,02/12/2021,Suscripción,"13469,38","2,227",,30000,$,Realizada,206147928
FBA RENTA PESOS,FBA RENTA PESOS,02/12/2021,Suscripción,"4720,837","21,183",,100000,$,Realizada,206147919
FBA RENTA PESOS,FBA RENTA PESOS,08/11/2021,Rescate,"11630,236","20,792",,"241810,5",$,Realizada,206002729
FBA RENTA PESOS,FBA RENTA PESOS,03/11/2021,Suscripción,8450,"20,71",,175000,$,Realizada,205974003
FBA RENTA PESOS,FBA RENTA PESOS,22/10/2021,Rescate,"243,733","20,514",,5000,$,Realizada,205904173
FBA RENTA PESOS,FBA RENTA PESOS,19/10/2021,Rescate,"190,57","20,465",,3900,$,Realizada,205883277
FBA RENTA PESOS,FBA RENTA PESOS,13/10/2021,Rescate,"2103,774","20,366",,"42846,18",$,Realizada,205849229
FBA RENTA PESOS,FBA RENTA PESOS,12/10/2021,Rescate,"10654,676","20,35",,"216821,89",$,Realizada,205834644
FBA RENTA PESOS,FBA RENTA PESOS,07/10/2021,Rescate,"986,785","20,268",,20000,$,Realizada,205825691
FBA RENTA PESOS,FBA RENTA PESOS,04/10/2021,Suscripción,"7418,882","20,219",,150000,$,Realizada,205802469
FBA RENTA PESOS,FBA RENTA PESOS,01/10/2021,Rescate,"495,791","20,17",,10000,$,Realizada,205783380
FBA RENTA PESOS,FBA RENTA PESOS,28/09/2021,Suscripción,"10436,684","20,121",,210000,$,Realizada,205760796
FBA RENTA PESOS,FBA RENTA PESOS,20/09/2021,Rescate,"251,314","19,992",,"5024,33",$,Realizada,205719025
LONG,ACCION LONGVIE SA C I  ORD CLASE B 1 VOTO,17/09/2021,Venta,"420,00","0,00",,"0,00",$,Rechazada,0
FBA RENTA PESOS,FBA RENTA PESOS,14/09/2021,Suscripción,"251,314","19,895",,5000,$,Realizada,205690369
LONG,ACCION LONGVIE SA C I  ORD CLASE B 1 VOTO,10/09/2021,Venta,"420,00","0,00",,"0,00",$,Rechazada,0
ALUA AR,ALUAR ALUMINIO ARGENTINO S. A. I. C.,08/09/2021,Venta,"100,00","69,00",,6900,$,Realizada,205660030
FBA RENTA PESOS,FBA RENTA PESOS,07/09/2021,Rescate,"2546,38","19,783",,"50374,23",$,Realizada,205647408
FBA RENTA PESOS,FBA RENTA PESOS,06/09/2021,Rescate,"9190,191","19,767",,"181658,45",$,Realizada,205632841
FBA RENTA FIJA PLUS,FBA RENTA FIJA PLUS,02/09/2021,Rescate,"10011,809","2,012",,"20142,63",$,Realizada,205613902
FBA RENTA PESOS,FBA RENTA PESOS,02/09/2021,Suscripción,"10151,25","19,702",,200000,$,Realizada,205616072
FBA RENTA PESOS,FBA RENTA PESOS,30/08/2021,Rescate,"763,197","19,654",,15000,$,Realizada,205585824
GGAL,GRUPO FINANCIERO GALICIA S. A.,27/08/2021,Venta,"25,00","184,00",,4600,$,Realizada,205579932
FBA RENTA FIJA PLUS,FBA RENTA FIJA PLUS,23/08/2021,Suscripción,"10011,809","1,998",,20000,$,Realizada,205551790
$,PESO,20/08/2021,Transferencia Entrante,"52,06","0,00",,"0,00",$,Realizada,710477123
$,PESO,20/08/2021,Transferencia Entrante,"24,40","0,00",,"0,00",$,Realizada,710477124
$,PESO,20/08/2021,Transferencia Monetaria,"0,00","0,00",,"76,46",$,Realizada,710478482
$,PESO,20/08/2021,Transferencia entre Cuentas,"76,46","0,00",,"0,00",$,Realizada,710478482
LONG,ACCION LONGVIE SA C I  ORD CLASE B 1 VOTO,18/08/2021,Venta,"420,00","0,00",,"0,00",$,Rechazada,0
GD35,BONO GD35 LEY EXTRANJERA USC STEP UP VTO 09-07-35,18/08/2021,Depósito,"2,00","0,00",,"0,00",BONO GD35,Realizada,710473514
GD30,BONO GD30 LEY EXTRANJERA USC STEP UP VTO 09-07-30,18/08/2021,Depósito,"4,00","0,00",,"0,00",BONO GD30,Realizada,710474346
MIRG,MIRGOR S. A. C. I. F. I. A.,18/08/2021,Venta,"2,00",2300,,4600,$,Realizada,205531376
FBA RENTA PESOS,FBA RENTA PESOS,13/08/2021,Rescate,"257,934","19,385",,5000,$,Realizada,205518680
FBA RENTA PESOS,FBA RENTA PESOS,12/08/2021,Rescate,"1032,578","19,369",,20000,$,Realizada,205504372
FBA RENTA PESOS,FBA RENTA PESOS,09/08/2021,Rescate,"5438,125","19,322",,"105073,57",$,Realizada,205473327
FBA RENTA FIJA PLUS,FBA RENTA FIJA PLUS,06/08/2021,Rescate,"69627,069","1,973",,"137373,23",$,Realizada,205464364
FBA RENTA PESOS,FBA RENTA PESOS,06/08/2021,Rescate,"4458,543","19,274",,"85935,39",$,Realizada,205464361
FBA RENTA PESOS,FBA RENTA PESOS,03/08/2021,Suscripción,"10922,11","19,227",,210000,$,Realizada,205441869
FBA RENTA FIJA PLUS,FBA RENTA FIJA PLUS,30/07/2021,Suscripción,"40958,658","1,953",,80000,$,Realizada,205421226
FBA RENTA PESOS,FBA RENTA PESOS,28/07/2021,Suscripción,"2090,532","19,134",,40000,$,Realizada,205410198
FBA RENTA PESOS,FBA RENTA PESOS,27/07/2021,Suscripción,"523,057","19,118",,10000,$,Realizada,205400365
GD30,BONO GD30 LEY EXTRANJERA USC STEP UP VTO 09-07-30,13/07/2021,Liquidación de Cupón,"1,00","0,00",,"0,00",CupBONGD30,Realizada,710443664
FBA RENTA PESOS,FBA RENTA PESOS,12/07/2021,Rescate,"0,00","0,00",,"0,00",$,Rechazada,0
GD30,BONO GD30 LEY EXTRANJERA USC STEP UP VTO 09-07-30,12/07/2021,Corte de Cupón,"1,00","0,00",,"0,00",CupBONGD30,Realizada,710441094
FBA RENTA FIJA PLUS,FBA RENTA FIJA PLUS,12/07/2021,Rescate,"40483,555","1,912",,77388,$,Realizada,205314865
FBA RENTA FIJA PLUS,FBA RENTA FIJA PLUS,12/07/2021,Rescate,"26156,223","1,912",,50000,$,Realizada,205324511
FBA RENTA PESOS,FBA RENTA PESOS,12/07/2021,Rescate,"5766,368","18,887",,"108906,83",$,Realizada,205314862
FBA RENTA PESOS,FBA RENTA PESOS,06/07/2021,Rescate,"4565,224","18,794",,"85799,17",$,Realizada,205289416
FBA RENTA FIJA PLUS,FBA RENTA FIJA PLUS,02/07/2021,Suscripción,"95308,19","1,889",,180000,$,Realizada,205270432
FBA RENTA PESOS,FBA RENTA PESOS,30/06/2021,Rescate,"155,063","18,702",,2900,$,Realizada,205250077
FBA RENTA PESOS,FBA RENTA PESOS,28/06/2021,Suscripción,"803,355","18,672",,15000,$,Realizada,205239949
FBA RENTA PESOS,FBA RENTA PESOS,25/06/2021,Suscripción,"7516,296","18,626",,140000,$,Realizada,205228775
FBA RENTA PESOS,FBA RENTA PESOS,23/06/2021,Rescate,"161,326","18,596",,3000,$,Realizada,205219496
FBA RENTA PESOS,FBA RENTA PESOS,18/06/2021,Rescate,"107,989","18,52",,2000,$,Realizada,205199137
FBA RENTA PESOS,FBA RENTA PESOS,16/06/2021,Rescate,"48,674","18,49",,"900,00",$,Realizada,205187645
FBA RENTA PESOS,FBA RENTA PESOS,16/06/2021,Rescate,"270,413","18,49",,5000,$,Realizada,205188132
FBA RENTA PESOS,FBA RENTA PESOS,11/06/2021,Rescate,"162,911","18,415",,3000,$,Realizada,205167367
FBA RENTA PESOS,FBA RENTA PESOS,10/06/2021,Rescate,"135,87","18,40",,2500,$,Realizada,205159494
FBA RENTA PESOS,FBA RENTA PESOS,09/06/2021,Rescate,"7886,894","18,385",,145000,$,Realizada,205153255
FBA RENTA FIJA PLUS,FBA RENTA FIJA PLUS,04/06/2021,Rescate,"215243,436","1,849",,"397953,9",$,Realizada,205123962
FBA RENTA PESOS,FBA RENTA PESOS,02/06/2021,Suscripción,"10941,08","18,28",,200000,$,Realizada,205113718
FBA RENTA FIJA PLUS,FBA RENTA FIJA PLUS,28/05/2021,Rescate,"2734,015","1,829",,5000,$,Realizada,205088203
FBA RENTA FIJA PLUS,FBA RENTA FIJA PLUS,27/05/2021,Rescate,"157318,961","1,824",,"287004,06",$,Realizada,205077738
FBA RENTA FIJA PLUS,FBA RENTA FIJA PLUS,27/05/2021,Rescate,"16444,258","1,824",,30000,$,Realizada,205077740
FBA RENTA FIJA PLUS,FBA RENTA FIJA PLUS,17/05/2021,Rescate,"159704,001","1,797",,"287004,06",$,Realizada,205038279
FBA RENTA PESOS,FBA RENTA PESOS,17/05/2021,Rescate,"557,431","18,043",,"10057,57",$,Realizada,205039159
$,PESO,14/05/2021,Transferencia Entrante,"25,42","0,00",,"0,00",$,Realizada,710377914
$,PESO,14/05/2021,Transferencia Saliente,"0,25","0,00",,"0,00",$,Realizada,710379072
$,PESO,14/05/2021,Transferencia Saliente,"15,62","0,00",,"0,00",$,Realizada,710380228
$,PESO,14/05/2021,Transferencia Monetaria,"0,00","0,00",,"9,55",$,Realizada,710381961
$,PESO,14/05/2021,Transferencia entre Cuentas,"9,55","0,00",,"0,00",$,Realizada,710381961
MIRG,MIRGOR S. A. C. I. F. I. A.,13/05/2021,Dividendo en Efectivo,"0,00","0,00",,"44,44",$,Realizada,710376624
MIRG,MIRGOR S. A. C. I. F. I. A.,13/05/2021,Cargo Dividendo Efectivo,"0,00","0,00",,"0,44",$,Realizada,710376624
FBA RENTA FIJA PLUS,FBA RENTA FIJA PLUS,10/05/2021,Rescate,"16820,924","1,783",,30000,$,Realizada,205002488
